gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE30844,Somatic mosaic IDH1 and IDH2 mutations are associated with enchondroma and spindle cell haemangioma in Ollier disease and Maffucci syndrome,This SuperSeries is composed of the SubSeries listed below.,55,Expression profiling by array; Methylation profiling by genome tiling array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE
GSE308788,HDAC4 regulates hASCs osteogenesis and bone regeneration by mediating SMAD4 via histone acetylation,"Bone defects in the craniofacial region, such as mandibular critical-sized defects (CSDs), represent a significant clinical challenge due to the limited self-healing capacity and shortcomings of current therapeutic options. Bone tissue engineering using human adipose-derived stem cells (hASCs) offers a promising alternative. This study investigates the role of histone deacetylase 4 (HDAC4) and its inhibition as a therapeutic strategy in regulating hASCs osteogenic differentiation via histone acetylation. Using CUT&Tag sequencing, we identified HDAC4-regulated histone acetylation sites that modulate the expression of osteogenesis-related factors, including the key transcription factor SMAD4. HDAC4 knockdown enhanced histone acetylation, promoted SMAD4 expression, and significantly improved osteogenic differentiation of hASCs. These findings were further validated in vivo using calvarial and mandibular defect models in nude mice. As an alternative inhibition strategy, the selective HDAC4 inhibitor Tasquinimod (Tasq) was evaluated. At 1 µM, Tasq enhanced hASCs proliferation, promoted histone acetylation, upregulated SMAD4, and stimulated osteogenic differentiation markers (ALP, OSX, COL1A1), mimicking the effects of HDAC4 knockdown. To enable localized delivery, a Tasq-loaded GelMA-F127 composite hydrogel was developed. This hydrogel exhibited excellent mechanical properties, biocompatibility, and sustained release. Applied to mandibular defects, GelMA-F127-Tasq significantly enhanced bone regeneration. In conclusion, this study elucidates the epigenetic mechanisms of HDAC4 in hASCs osteogenesis and highlights the potential of Tasq-loaded hydrogels as a therapeutic strategy for bone defect repair.",2,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,OI
GSE309031,Epigenetic heterogeneity and state-specific transcriptional programs determine differential drug response in osteosarcoma [CUT&Run],"Osteosarcoma is a genomically complex tumor with structural rearrangements, aneuploidy, and chromosomal alterations, resulting in significant intertumoral heterogeneity. This complexity hampers the identification of key oncogenic pathways and subtypes. We hypothesized that chromatin accessibility could uncover molecular features to clarify their transcriptional programs, suggesting new therapies. Using ATAC-seq, H3K27ac profiling, and single-cell multiome analysis, we identified two distinct cellular states in osteosarcoma driven by unique transcription factor networks linked to normal bone development. These subtypes can be detected in patient samples via a specific gene expression signature with prognostic value.",85,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE309060,Impact of hyaluronic acid coating of collagen membranes: RNAseq of gingival fibroblasts,"Collagen membranes are commonly used biomaterials in clinical dentistry that can be coated with hyaluronic acid (HA). To investigate fibroblast responses, gingival fibroblasts were seeded on porcine-derived membranes originating from dermis (Mucoderm®) and pericardium (Collafleece®) —with or without lyophilized HA, followed by bulk RNA sequencing. Mucoderm® and Collafleece® elicited a significant transcriptional response compared to fibroblasts grown on tissue culture surfaces. Compared to Mucoderm®, Collafleece® increased the expression of extracellular matrix genes CCN1, CCN2, COL1A1, POSTN, SPARC, TAGLN, FBN2, CCDC80 and CREB3L1. Decreased genes included the proteases MMP3 and MMP10 but also detoxifying genes MT1E, MT2A, HMOX1, NQO1. RNA sequencing further revealed that HA coating increased IL24 in Mucoderm®, but no increasing changes was observed in Collafleece®. These data suggest that Collafleece® has a comparably stronger positive impact on extracellular matrix formation by in gingival fibroblast than Mucoderm®. The results further imply that HA coating does consistently impact fibroblast behavior.",21,Expression profiling by high throughput sequencing,Homo sapiens,,OI
GSE309114,Stem Cells in Muscle Contractures of Children with Cerebral Palsy have Decreased Myogenic and Increased Fibrotic Transcripts,"Development of muscle contractures are common in Cerebral palsy (CP) and characterized by high muscle stiffness that limits function and mobility. The state of the cell types within muscle, particularly muscle stem cells (MuSCs) and fibro-adipogenic progenitors (FAPs), are largely unknown. The aim of this study was to leverage single cell RNA sequencing technology to determine how specific cell types are altered in contracture. CP MuSCs demonstrated significant upregulation of fibrotic genes (ACTA2) and down regulation of myogenic genes (MYF5) compared to typically developing MuSCs. The most dramatically up-regulated genes in FAPs in CP were also major fibrotic components (COL1A1). Interacting signals between FAPs, MuSCs, and immune cells, such as TNF signaling between macrophages and FAPs, were identified that support contracture progression. The study reveals specific genes and signals as therapeutic targets to reduce muscle contracture in children with CP.",6,Expression profiling by high throughput sequencing,Homo sapiens,,OI
GSE309462,Endothelial BMP6 Drives Hemodynamic-Dependent VSMCs Calcification in Carotid Atherosclerosis,"Carotid atherosclerosis (CAS) is a major contributor to ischemic stroke, with vascular calcification driving disease progression. However, the molecular mechanisms driving vascular calcification in CAS remain unelucidated. Previous studies have confirmed that bone morphogenetic proteins (BMPs) play essential roles in calcification; however, the regulatory mechanisms of BMP6 signaling in vascular calcification remain unclear. This study aimed to investigate the role of BMP6 in vascular calcification in CAS and the underlying mechanisms. A subset of endothelial cells (ECs) with high BMP6 expression, which interacted with specific vascular smooth muscle cells (VSMCs) via the BMP signaling pathway, was identified using single-cell RNA sequencing of human CAS plaque samples. In vitro experiments demonstrated BMP6-induced osteogenic differentiation of VSMCs. Moreover, BMP6 activated the p-SMAD1/5/8 signaling pathway by binding to the ACVR1–BMPR2 receptor complex, and pharmacological inhibition of this pathway attenuated osteogenic differentiation. Experimental results from endothelium-specific BMP6 knockout (BMP6ECKOApoE-/-) and overexpression (AAV-Cdh5-BMP6) mice confirmed that BMP6 exacerbated vascular calcification, whereas its knockdown reduced calcific lesions. Additionally, disturbed flow conditions upregulated BMP6 expression by suppressing Krüppel-like factor 4 and linking hemodynamic forces to BMP6-mediated calcification. These findings suggest that BMP6 is a key regulator of vascular calcification in CAS, driven by EC–VSMC interactions and hemodynamic stress",14,Expression profiling by high throughput sequencing,Mus musculus; Homo sapiens,,FOP
GSE309520,Histone lactylation enhances m6A-mediated PDK4 stabilization to drive osteogenic differentiation in calcific aortic valve disease,"Calcific aortic valvular disease (CAVD) is characterized by progressive thickening and calcification of the valvular leaflets. Emerging evidence suggests that glycolysis, particularly regulated by pyruvate dehydrogenase kinase 4 (PDK4), plays a significant role in calcification-related diseases. Nevertheless, the mechanisms by which PDK4 affects glycolysis and influences CAVD remain unexplored. This study investigated the contribution of PDK4 to glycolytic reprogramming and osteogenic differentiation in CAVD. Osteogenic differentiation of human valvular interstitial cells (VICs) and CAVD valves was associated with enhanced glycolysis, leading to increased lactate production that further promoted VICs' calcification. PDK4 expression was significantly upregulated in both osteogenically differentiated VICs and CAVD valves. Silencing PDK4 reduced osteogenic differentiation in VICs, whereas PDK4 overexpression aggravated differentiation and increased glycolytic activity. Mechanistically, PDK4 facilitated nuclear translocation of Yes-associated protein (YAP), a key regulator of the Hippo signaling pathway, thereby enhancing RUNX2 transcription and promoting osteogenic differentiation. Nuclear accumulation of lactate increased H3K18 lactylation, which stabilized PDK4 mRNA through the METTL3-m6A-YTHDF1 pathway, establishing a positive feedback loop. This study identifies mechanisms by which glycolysis drives CAVD progression and highlights PDK4 as a potential molecular target for therapeutic intervention.",6,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE309849,Histone lactylation enhances m6A-mediated PDK4 stabilization to drive osteogenic differentiation in calcific aortic valve disease [RNAseq-PDK4],"Calcific aortic valvular disease (CAVD) is characterized by progressive thickening and calcification of the valvular leaflets. Emerging evidence suggests that glycolysis, particularly regulated by pyruvate dehydrogenase kinase 4 (PDK4), plays a significant role in calcification-related diseases. Nevertheless, the mechanisms by which PDK4 affects glycolysis and influences CAVD remain unexplored. This study investigated the contribution of PDK4 to glycolytic reprogramming and osteogenic differentiation in CAVD. Osteogenic differentiation of human valvular interstitial cells (VICs) and CAVD valves was associated with enhanced glycolysis, leading to increased lactate production that further promoted VICs' calcification. PDK4 expression was significantly upregulated in both osteogenically differentiated VICs and CAVD valves. Silencing PDK4 reduced osteogenic differentiation in VICs, whereas PDK4 overexpression aggravated differentiation and increased glycolytic activity. Mechanistically, PDK4 facilitated nuclear translocation of Yes-associated protein (YAP), a key regulator of the Hippo signaling pathway, thereby enhancing RUNX2 transcription and promoting osteogenic differentiation. Nuclear accumulation of lactate increased H3K18 lactylation, which stabilized PDK4 mRNA through the METTL3-m6A-YTHDF1 pathway, establishing a positive feedback loop. This study identifies mechanisms by which glycolysis drives CAVD progression and highlights PDK4 as a potential molecular target for therapeutic intervention.",12,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310382,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,"Aging impairs immunity in part through the accumulation of CD8+ T cells with senescence features, including a pro-inflammatory transcriptome and impaired proliferative capacity. Using senescent cell isolation coupled with multiomic profiling, we defined the epigenetic regulation of CD8+ T cell senescence in healthy younger and older humans. We discovered that the transition to senescence was controlled by chromatin state-specific transcription factor (TF) networks whose composition was largely insensitive to donor age. These TF networks mediated widespread enhancer remodeling, causing repression of genes essential for proliferation as well as upregulation of inflammatory and secretory pathways. Inhibition of AP1, KLF5, or RUNX2 modulated the transcriptional output and partially restored the blunted transcriptional response to stimulation of senescent CD8+ T cells. Our data also revealed CD8+ T cell senescence gene signatures predictive of response to CAR-T cell therapy in diffuse large B cell lymphomas. Overall, our study defines the gene regulatory mechanisms of senescence in human CD8+ T cells, provides a resource for the interrogation of CD8+ T cell senescence in disease, highlights TF network perturbation as a viable strategy to manipulate the senescence state of CD8+ T cells, and reveals senescent CD8+ T cell gene signatures as valuable prognostic tools for immunotherapy outcome.",15,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310383,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,"Aging impairs immunity in part through the accumulation of CD8+ T cells with senescence features, including a pro-inflammatory transcriptome and impaired proliferative capacity. Using senescent cell isolation coupled with multiomic profiling, we defined the epigenetic regulation of CD8+ T cell senescence in healthy younger and older humans. We discovered that the transition to senescence was controlled by chromatin state-specific transcription factor (TF) networks whose composition was largely insensitive to donor age. These TF networks mediated widespread enhancer remodeling, causing repression of genes essential for proliferation as well as upregulation of inflammatory and secretory pathways. Inhibition of AP1, KLF5, or RUNX2 modulated the transcriptional output and partially restored the blunted transcriptional response to stimulation of senescent CD8+ T cells. Our data also revealed CD8+ T cell senescence gene signatures predictive of response to CAR-T cell therapy in diffuse large B cell lymphomas. Overall, our study defines the gene regulatory mechanisms of senescence in human CD8+ T cells, provides a resource for the interrogation of CD8+ T cell senescence in disease, highlights TF network perturbation as a viable strategy to manipulate the senescence state of CD8+ T cells, and reveals senescent CD8+ T cell gene signatures as valuable prognostic tools for immunotherapy outcome.",16,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310384,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,"Aging impairs immunity in part through the accumulation of CD8+ T cells with senescence features, including a pro-inflammatory transcriptome and impaired proliferative capacity. Using senescent cell isolation coupled with multiomic profiling, we defined the epigenetic regulation of CD8+ T cell senescence in healthy younger and older humans. We discovered that the transition to senescence was controlled by chromatin state-specific transcription factor (TF) networks whose composition was largely insensitive to donor age. These TF networks mediated widespread enhancer remodeling, causing repression of genes essential for proliferation as well as upregulation of inflammatory and secretory pathways. Inhibition of AP1, KLF5, or RUNX2 modulated the transcriptional output and partially restored the blunted transcriptional response to stimulation of senescent CD8+ T cells. Our data also revealed CD8+ T cell senescence gene signatures predictive of response to CAR-T cell therapy in diffuse large B cell lymphomas. Overall, our study defines the gene regulatory mechanisms of senescence in human CD8+ T cells, provides a resource for the interrogation of CD8+ T cell senescence in disease, highlights TF network perturbation as a viable strategy to manipulate the senescence state of CD8+ T cells, and reveals senescent CD8+ T cell gene signatures as valuable prognostic tools for immunotherapy outcome.",24,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310393,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,"Aging impairs immunity in part through the accumulation of CD8+ T cells with senescence features, including a pro-inflammatory transcriptome and impaired proliferative capacity. Using senescent cell isolation coupled with multiomic profiling, we defined the epigenetic regulation of CD8+ T cell senescence in healthy younger and older humans. We discovered that the transition to senescence was controlled by chromatin state-specific transcription factor (TF) networks whose composition was largely insensitive to donor age. These TF networks mediated widespread enhancer remodeling, causing repression of genes essential for proliferation as well as upregulation of inflammatory and secretory pathways. Inhibition of AP1, KLF5, or RUNX2 modulated the transcriptional output and partially restored the blunted transcriptional response to stimulation of senescent CD8+ T cells. Our data also revealed CD8+ T cell senescence gene signatures predictive of response to CAR-T cell therapy in diffuse large B cell lymphomas. Overall, our study defines the gene regulatory mechanisms of senescence in human CD8+ T cells, provides a resource for the interrogation of CD8+ T cell senescence in disease, highlights TF network perturbation as a viable strategy to manipulate the senescence state of CD8+ T cells, and reveals senescent CD8+ T cell gene signatures as valuable prognostic tools for immunotherapy outcome.",24,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310625,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,"Aging impairs immunity in part through the accumulation of CD8+ T cells with senescence features, including a pro-inflammatory transcriptome and impaired proliferative capacity. Using senescent cell isolation coupled with multiomic profiling, we defined the epigenetic regulation of CD8+ T cell senescence in healthy younger and older humans. We discovered that the transition to senescence was controlled by chromatin state-specific transcription factor (TF) networks whose composition was largely insensitive to donor age. These TF networks mediated widespread enhancer remodeling, causing repression of genes essential for proliferation as well as upregulation of inflammatory and secretory pathways. Inhibition of AP1, KLF5, or RUNX2 modulated the transcriptional output and partially restored the blunted transcriptional response to stimulation of senescent CD8+ T cells. Our data also revealed CD8+ T cell senescence gene signatures predictive of response to CAR-T cell therapy in diffuse large B cell lymphomas. Overall, our study defines the gene regulatory mechanisms of senescence in human CD8+ T cells, provides a resource for the interrogation of CD8+ T cell senescence in disease, highlights TF network perturbation as a viable strategy to manipulate the senescence state of CD8+ T cells, and reveals senescent CD8+ T cell gene signatures as valuable prognostic tools for immunotherapy outcome.",24,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310729,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,"Aging impairs immunity in part through the accumulation of CD8+ T cells with senescence features, including a pro-inflammatory transcriptome and impaired proliferative capacity. Using senescent cell isolation coupled with multiomic profiling, we defined the epigenetic regulation of CD8+ T cell senescence in healthy younger and older humans. We discovered that the transition to senescence was controlled by chromatin state-specific transcription factor (TF) networks whose composition was largely insensitive to donor age. These TF networks mediated widespread enhancer remodeling, causing repression of genes essential for proliferation as well as upregulation of inflammatory and secretory pathways. Inhibition of AP1, KLF5, or RUNX2 modulated the transcriptional output and partially restored the blunted transcriptional response to stimulation of senescent CD8+ T cells. Our data also revealed CD8+ T cell senescence gene signatures predictive of response to CAR-T cell therapy in diffuse large B cell lymphomas. Overall, our study defines the gene regulatory mechanisms of senescence in human CD8+ T cells, provides a resource for the interrogation of CD8+ T cell senescence in disease, highlights TF network perturbation as a viable strategy to manipulate the senescence state of CD8+ T cells, and reveals senescent CD8+ T cell gene signatures as valuable prognostic tools for immunotherapy outcome.",83,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE310745,Tumor-like proliferation of CCM3 knockout endothelial cells: Insights from semaxinib treatment and transcriptome profiling of co-cultures,We used RNA-seq to study the effect of semaxinib treatment on induced pluripotent stem cell (iPSC)-derived wild-type (WT) and CCM3 knockout (KO) endothelial cells (iEC) in co-culture.,12,Expression profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE310929,Deciphering sepsis molecular subtypes using large-scale data to identify subtype-specific drug repurposing,"Rationale: Sepsis is a life-threatening syndrome that can quickly cause organ failure and death if untreated. Patient variability complicates therapy development, and its molecular mechanisms remain poorly understood. Advancing knowledge of these mechanisms is essential for effective treatments and clearer phenotype definitions. Objectives: To address this issue, we created a large-scale transcriptomic atlas of publicly available adult sepsis patient data with which we performed molecular phenotyping to evaluate patterns of gene expression and identified potential phenotype-specific drug therapies. Methods: We identified studies of bacterial sepsis in three genomic databases (SRA, GEO, and refine.bio) and reviewed metadata from each study to ensure samples met our predetermined inclusion criteria. We combined this data into one large comprehensive data atlas and harmonized gene expression and associated metadata from each sample. Molecular phenotypes of sepsis were identified via clustering analysis of this sepsis transcriptomic data atlas. We then examined clinical correlates of each phenotype and identified gene signatures associated with each. We performed gene set enrichment analysis on those signatures and identified phenotype-specific potential drug repurposing candidates. We also evaluated the associations between computed phenotypes and mortality. Measurements and Main Results: We harmonized data from 3,713 samples (all are included in this dataset) across 28 data sets, of which 2,251 were sepsis patients. Clustering analysis identified four phenotypes within the data. We identified statistically significant phenotype associations with survival, disease, and age. Pathway analysis revealed that MHC class II functions, DNA damage, homeostatic pathways and coagulation may characterize underlying response phenotypes, and may have the potential to guide drug development of sepsis therapeutics. Conclusions: We created the largest transcriptomic sepsis atlas to date, from which we identified four molecular sepsis phenotypes. We described underlying dysregulated molecular mechanisms of these phenotypes, associated clinical covariates, and several potential candidate therapies specific to each phenotype. Future studies should seek to validate such drug-phenotype links to advance sepsis precision medicine.",193,Expression profiling by high throughput sequencing; Third-party reanalysis,Homo sapiens,,MPS
GSE311318,The Cartilage Oligomeric Matrix Protein (COMP) Gene Is Associated with High-Grade Bladder Cancer and Promotes Bladder Cancer Cell Proliferation,"Bladder cancer (BLCA) is a globally prevalent malignancy that poses a severe threat to patient health. Accurate high/low-grade classification of BLCA is critical for tailoring effective treatment strategies. This study integrated eight single-cell RNA sequencing (scRNA-seq) datasets and bulk RNA sequencing test from bladder tissues in our hospital, performing cell subpopulation annotation, differential gene expression analysis, and pathway enrichment analysis. Focusing on Cartilage Oligomeric Matrix Protein (COMP), we evaluated drug sensitivities and validated its functional role in BLCA using 5637 cell lines. Single-cell clustering identified distinct gene expression profiles between high/low-grade bladder epithelial cells, with the unfolded protein response pathway being most significantly enriched. Integrative analysis revealed COMP as a prognostic marker, positively correlated with 16 potential therapeutic drugs. In vitro experiments confirmed that COMP promotes BLCA cell proliferation. Our findings highlight COMP as an oncogenic driver in BLCA and provide drug targets for clinical translation.",8,Expression profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE311858,RUNX1 is Expressed in a Subpopulation of Dermal Fibroblasts and is Associated with Disease Severity of Systemic Sclerosis,"The activation of Runt-related transcription factor 1 (RUNX1) in fibroblasts has been implicated in wound healing and fibrosis; however, the role of RUNX1 in the fibrotic progression of the autoimmune disease systemic sclerosis (SSc) is not known. Leveraging gene expression, genome-wide DNA methylation, and single-cell resolution data of SSc skin and fibroblast, we analyzed the impact of RUNX1 dysregulation in SSc dermal fibrosis. RUNX1 function was subsequently assessed using siRNA, pharmacologic inhibition, and CRISPR knockout in 2D and 3D fibroblasts cultures. Analysis of gene expression in multiple cohorts demonstrated an association between the severity of dermal fibrosis and the expression levels of RUNX1 in the skin of patients with SSc. Epigenomic analyses of methylation identified hypomethylated CpG sites proximal to the RUNX1 gene, implicating their potential role in the increased expression of RUNX1. Analysis of single-cell RNA-seq data from skin biopsies of individuals with SSc revealed that RUNX1 is higher in subpopulations of fibroblasts enriched in SSc, which are believed to contribute to fibrosis. RUNX1 CRISPR KO resulted in reduced alpha smooth muscle actin (α-SMA) expression. Inhibition of RUNX1 activity caused a reduction in fibroblast activation, contraction, extracellular matrix components, and proliferation rates including a reduction in SFRP4, LUM and COL1A1. This study is the first to demonstrate a potential role for RUNX1 in the pathogenesis of systemic sclerosis dermal fibrosis. RUNX1 is associated with more severe SSc fibrosis and is associated with a subpopulation of dermal fibroblasts implicated in fibrosis.",16,Methylation profiling by genome tiling array,Homo sapiens,,OI
GSE311894,Effects of Selenium-mediated RUNX2 Overexpression and its Transcriptome Alterations on Chondrocyte Injury in Kashin Beck disease,"Runt-related transcription factor 2 (RUNX2) is a key regulator of chondrocyte differentiation and apoptosis. To investigate the downstream molecular mechanisms of RUNX2 in chondrocyte injury, we established a RUNX2 overexpression model using lentiviral transfection in human chondrocytes. Total RNA was extracted from RUNX2-overexpressing and control chondrocytes and subjected to RNA sequencing. Differential expression analysis identified 263 upregulated and 216 downregulated genes in RUNX2-overexpressing cells compared with controls. Functional enrichment analysis revealed that these genes were predominantly involved in TNF and MAPK signaling pathways, suggesting that RUNX2 activation promotes inflammatory and apoptotic processes in chondrocytes. These results provide a comprehensive transcriptomic resource for understanding RUNX2-mediated signaling in cartilage degeneration and may contribute to elucidating the molecular pathogenesis of osteoarthropathy such as Kashin-Beck disease.",6,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE312591,RUNX1 is Expressed in a Subpopulation of Dermal Fibroblasts and is Associated with Disease Severity of Systemic Sclerosis [scRNA-seq],"The activation of Runt-related transcription factor 1 (RUNX1) in fibroblasts has been implicated in wound healing and fibrosis; however, the role of RUNX1 in the fibrotic progression of the autoimmune disease systemic sclerosis (SSc) is not known. Leveraging gene expression, genome-wide DNA methylation, and single-cell resolution data of SSc skin and fibroblast, we analyzed the impact of RUNX1 dysregulation in SSc dermal fibrosis. RUNX1 function was subsequently assessed using siRNA, pharmacologic inhibition, and CRISPR knockout in 2D and 3D fibroblasts cultures. Analysis of gene expression in multiple cohorts demonstrated an association between the severity of dermal fibrosis and the expression levels of RUNX1 in the skin of patients with SSc. Epigenomic analyses of methylation identified hypomethylated CpG sites proximal to the RUNX1 gene, implicating their potential role in the increased expression of RUNX1. Analysis of single-cell RNA-seq data from skin biopsies of individuals with SSc revealed that RUNX1 is higher in subpopulations of fibroblasts enriched in SSc, which are believed to contribute to fibrosis. RUNX1 CRISPR KO resulted in reduced alpha smooth muscle actin (α-SMA) expression. Inhibition of RUNX1 activity caused a reduction in fibroblast activation, contraction, extracellular matrix components, and proliferation rates including a reduction in SFRP4, LUM and COL1A1. This study is the first to demonstrate a potential role for RUNX1 in the pathogenesis of systemic sclerosis dermal fibrosis. RUNX1 is associated with more severe SSc fibrosis and is associated with a subpopulation of dermal fibroblasts implicated in fibrosis.",4,Expression profiling by high throughput sequencing,Homo sapiens,,OI
GSE31367,miRNA Expression data from WASF3 overexpressing stable T47D cells and control cells,"We recently showed that inactivation of the WASF3/WAVE3 gene in breast cancer cells results in loss of cell motility and invasion in vitro and metastasis in vivo. To obtain a better understanding of molecular mechanisms of action of WASF3, we have established the stable  WASF3 overexpressing T47D cells using lentiviral infect system. We used miRNA microarrays to detail the global programme of miRNA expression after overexpression of  WASF3 and identified distinct classes of up or down-regulated metastmir associated with breast cancer cell migration and motility invasion",4,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE314015,Iron chelation shifts endothelial phenotypes,"Iron deficiency is a highly prevalent nutrient deficiency and the most common cause of anemia. Although iron deficiency exacerbates cardiovascular disease, the direct impact of iron deficiency on the vasculature remains unstudied. Human lymphatic and arterial endothelial cells were treated with deferoxamine for 24 hours to assess the impact of iron deficiency on endothelial cell phenotypes. We found iron chelation upregulated the expression of arterial makers in both cell types. In lymphatic endothelial cells, iron chelation decreased the expression of lymphatic markers. These data suggest iron chelation shifts endothelial cells toward an arterial phenotype.",12,Expression profiling by high throughput sequencing,Homo sapiens,,MPS
GSE314128,Contact with smooth muscle cells dictates the endothelial transcriptome,"The phenotypes of endothelial cells (ECs) in conduit and resistance arteries differ in part due to the presence of myoendothelial junctions in resistance arteries. These are direct contact points between ECs and smooth muscle cells (SMCs) that form through holes in the inner elastic lamina. To investigate the consequences of SCM contact on endothelial phenotypes, we used transwells to culture ECs in three conditions: cultured without SMCs (monolayer ECs), co-cultured without direct contact with SMCs (no-contact ECs), and co-cultured with SMCs such that myoendothelial junctions could form (contact ECs). We then collected the ECs and performed bulk RNA sequencing. These data demonstrate the impact of SMC-derived signals on endothelial phenotypes.",9,Expression profiling by high throughput sequencing,Homo sapiens,,MPS
GSE314190,RAB3GAP2 is a Regulator of Skeletal Muscle Endothelial Cell Proliferation and Associated with Capillary Density,"Skeletal muscle fiber composition and capillary density influence physical performance and whole-body metabolic properties. ~45% of the variance in fiber type is heritable, which motivated us to perform a genome-wide association study of skeletal muscle histology from 656 Swedish men. Four independent variants were associated (p < 5x10− 8) with proportion of type IIx fibers or capillary-to-fiber ratio (C:F). The strongest signal localized to the rs115660502 variant, where the G-allele corresponded with increased C:F and reduced skeletal muscle expression of the proximal gene, RAB3 GTPase Activating Non-Catalytic Protein Subunit 2 (RAB3GAP2). The G-allele was less frequent in elite short-track sprinters and more frequent in endurance athletes than in matched non-athlete (population) controls; RAB3GAP2 expression was reduced by high-intensity intermittent training. RAB3GAP2 protein was not uniformly expressed in muscle tissue but localized to the endothelium and capillaries. Experimental reduction of RAB3GAP2 in human endothelial cells led to increased tube formation in vitro, to regulation of secreted factors promoting angiogenesis and T-cell activation, to reduced intracellular levels of von Willebrand factor (VWF) and, post-implantation, to increased endothelial cell density in vivo in mice. The amount of RAB3GAP2 in skeletal muscle was positively associated with exercise-induced release of VWF in vivo in humans. By regulating the release of protein factors (VWF, CD70, TNC, TNXB, MCP1, IGFBP3, COL1A1, TFPI2 and tPA), RAB3GAP2 influences fitness adaptation after exercise by improving muscle healing and promotion of capillary formation.",16,Expression profiling by high throughput sequencing,Homo sapiens,,OI
GSE314342,Genome-scale perturb-seq in primary human CD4+ T cells reveals genes regulating T cell programs and human immune traits.,"CD4+ T cells orchestrate immune responses against infection and cancer, yet a comprehensive map of their gene regulatory networks has been lacking. Perturb-seq enables systematic mapping of such networks, but large-scale application in primary human T cells has been challenging. Here, we developed a scalable, probe-based Perturb-seq platform and performed genome-scale perturbations of all expressed genes across 22 million primary CD4+ T cells from four donors under three stimulation conditions. We demonstrate the utility of this dataset in three ways. First, we identify previously unrecognized regulators of the two important immune cytokines, IL-10 and IL-21. Second, we show that ex vivo perturbation signatures can model T cell states observed in population-scale atlases, revealing regulators of helper T cell polarization and T cell aging. Third, we leverage regulatory relationships to mechanistically explain gene–trait associations in immune-related diseases, nominating genes for uncharacterized immune functions. Thus genome-scale perturb-seq in primary human T cells provides a foundational resource for decoding immune variation in humans and reprogramming T cell states for next-generation precision therapies.",577,Expression profiling by high throughput sequencing,Homo sapiens,,MPS
GSE314629,FGFR3-driven gene regulatory network analysis reveals a pro-tumoral role for p63 in luminal bladder tumors.,"FGFR3 (Fibroblast Growth Factor Receptor 3) is one of the most frequently altered genes in bladder cancer, primarily through activating mutations that drive oncogenesis and are enriched in luminal tumors. However, the underlying gene regulatory network (GRN) remains poorly characterized. Here, we inferred an FGFR3-mutated GRN using a bottom-up bioinformatics approach, integrating transcriptomic data from bladder cancer cell lines, FGFR3-mutated tumors, and FGFR3-perturbation experiments in human and mouse models. Using CRISPR-Cas9 screen public data, we identified transcription factors (TFs) from this GRN that regulate the viability of FGFR3-mutated cells, with a focus on p63 (TP63). We showed that FGFR3 activation upregulates p63 in patient-derived xenografts and cell lines, while single-cell RNA sequencing revealed heterogeneous p63 activation associated with basal differentiation. Functional studies, including TP63 knock-down in FGFR3-dependent in vitro and in vivo models and RNA-seq along with p63 ChIP-seq, demonstrated that p63 directly promotes cell proliferation and migration, and uncovered a positive feedback loop between FGFR3 and p63. Together, these findings identified p63 as a pro-tumorigenic regulator in FGFR3 mutated tumors despite their luminal differentiation and provide a detailed FGFR3-driven GRN, offering insights into FGFR3-induced oncogenic dependency and potential strategies to circumvent resistance to FGFR inhibitors.",12,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3
